# DE2000               RA2000                HD         Pol      e_Pol                  PA      e_PA   GLON       GLAT       E_B-V_   Vmag   Dist      PolRefs                 
  -71.38929999999999   149.040675            86606.0    0.81     0.035                  152.5   1.2    289.8175   -13.1325   0.1      6.3    2113.5    0000000000001000000000  
  -71.0088             326.37001499999997    206399.0   0.07     0.035                  8.5     14.0   320.6351   -39.0919   0.0      6.0    158.5     0000000000001000000000  
  -70.98799999999999   248.58070499999997    148488.0   0.48     0.035                  49.2    2.1    319.1556   -15.5345   0.2      5.5    229.1     0000000000001000000000  
  -70.8779             166.70803499999997    96706.0    1.37     0.035                  121.6   0.7    294.5084   -9.7369    0.2      5.6    425.0     0000000000001000000000  
  -70.8775             185.15099999999998    ""         2.52     0.1                    102.9   1.1    300.3878   -8.1582    0.3      11.0   7585.8    0000000000000100000000  
  -70.82549999999999   82.28699999999999     37027.0    0.3      0.046000000000000006   30.0    4.4    281.6144   -32.2357   0.0      8.1    263.0     0000000000001000000000  
  -70.80859999999998   197.71961999999996    114200.0   1.4      0.1                    91.5    2.0    304.5436   -7.9977    0.4      8.5    2287.0    0000000000000100000000  
  -70.78769999999999   205.00246499999997    118522.0   2.96     0.035                  100.1   0.3    306.9432   -8.2953    0.2      6.6    87.1      0000000000001000000000  
  -70.53849999999998   136.409925            78764.0    0.283    0.036000000000000004   124.5   3.6    286.1908   -15.4295   0.1      4.7    240.0     0000000000001000000001  
  -70.4314             336.29329499999994    212211.0   0.11     0.035                  108.2   9.0    318.5058   -41.9947   0.1      5.8    52.0      0000000000001000000000  
  -70.22569999999999   177.48593999999997    102839.0   1.44     0.035                  117.6   0.7    297.7357   -7.9769    0.4      5.0    1000.0    0000000000001000000000  
  -70.20989999999999   195.14200499999998    ""         0.88     0.1                    96.7    3.3    303.711    -7.352     0.3      9.5    4429.0    0000000000000100000000  
  -70.1338             170.98505999999998    99205.0    2.1      0.1                    123.1   1.4    295.5766   -8.5217    0.3      9.6    4817.5    0000000000000100000000  
  -70.1262             318.33516             201371.0   0.26     0.035                  6.5     3.9    323.2663   -37.1868   0.0      5.0    131.8     0000000000001000000000  
  -70.1231             260.5245              156190.0   0.45     0.035                  30.7    2.2    322.2751   -18.29     0.0      5.4    114.8     0000000000001000000000  
  -70.0846             247.11583499999998    147584.0   0.04     0.035                  29.4    23.6   319.5303   -14.5736   0.0      4.9    12.0      0000000000001000000000  
  -69.64809999999999   212.31274499999998    123189.0   0.31     0.1                    135.8   9.2    309.6456   -7.797     0.2      9.8    155.0     0000000000000100000000  
  -69.64519999999999   192.79990499999997    111558.0   1.1      0.1                    92.5    2.6    302.9111   -6.7735    0.2      7.3    3219.5    0000000000000100000000  
  -69.62939999999999   327.69677999999993    207241.0   0.12     0.035                  103.0   8.3    321.7962   -40.2335   0.0      5.5    109.6     0000000000001000000000  
  -69.6249             5.162685              1685.0     0.034    0.0                    98.7    0.0    306.8721   -47.2671   0.0      5.5    100.0     0000000000101000000000  
  -69.5269             13.751249999999999    5457.0     0.021    0.03900000000000001    14.5    42.9   302.4693   -47.5981   0.2      5.3    50.1      0000000100001000000000  
  -69.50519999999999   322.18661999999995    203881.0   0.1      0.035                  112.0   9.9    323.2237   -38.6529   0.0      5.3    173.8     0000000000001000000000  
  -69.32669999999999   174.38699999999997    ""         3.63     0.1                    120.5   0.8    296.4554   -7.3893    0.4      11.0   12589.3   0000000000000100000000  
  -69.1018             149.24932499999997    86659.0    0.65     0.035                  125.4   1.5    288.4005   -11.3105   0.1      6.2    410.0     0000000000001000000000  
  -69.01749999999998   219.71249999999998    ""         1.13     0.1                    86.9    2.5    312.3357   -8.1302    1.3      11.0   2754.2    0000000000000100000000  
  -68.82029999999999   346.21727999999996    217831.0   0.03     0.035                  56.4    30.3   316.2832   -45.446    0.0      5.5    58.0      0000000000001000000000  
  -68.7819             166.54843499999998    96569.0    0.6      0.07                   121.9   3.3    293.613    -7.836     0.1      7.3    247.0     0000000001000000000000  
  -68.6839             135.28535999999997    77887.0    0.34     0.035                  138.6   2.9    284.4497   -14.5553   0.1      5.9    131.8     0000000000001000000000  
  -68.68279999999999   152.37583499999997    88473.0    0.41     0.060000000000000005   148.8   4.2    289.0527   -10.2944   0.0      5.8    119.0     0000000001000000000000  
  -68.65939999999999   35.43758999999999     15008.0    0.0090   0.005000000000000001   140.4   15.5   291.2497   -46.3668   0.0      4.3    31.0      0000000100000000000000  
  -68.60289999999999   238.87339499999996    141767.0   0.51     0.035                  53.0    2.0    318.4688   -11.4821   0.1      5.1    1584.9    0000000000001000000000  
  -68.42429999999999   287.469255            177389.0   0.03     0.035                  123.9   30.3   327.1697   -26.7654   0.0      5.3    60.3      0000000000001000000000  
  -68.30709999999999   185.55014999999997    107567.0   0.14     0.035                  129.1   7.1    300.2237   -5.5893    0.0      5.7    69.2      0000000000001000000000  
  -68.29599999999999   250.34636999999998    149671.0   0.57     0.035                  47.6    1.8    321.7038   -14.2856   0.1      5.9    248.0     0000000000001000000000  
  -68.2096             315.36679499999997    199475.0   0.04     0.035                  23.1    23.6   325.9899   -36.9379   0.1      6.4    104.7     0000000000001000000000  
  -68.19529999999999   216.27641999999997    125835.0   2.65     0.035                  57.7    0.4    311.4832   -6.8926    0.5      5.6    2013.0    0000000000001000000000  
  -68.0864             76.27771499999999     33486.0    0.33     0.042                  29.0    3.6    278.9291   -34.8665   0.0      7.9    239.0     0000000000001000000000  
  -68.05789999999999   172.961235            100324.0   4.26     0.1                    136.3   0.7    295.5803   -6.3295    0.4      8.6    1015.0    0000000000000100000000  
  -67.9571             109.20763499999998    57623.0    0.38     0.035                  9.6     2.6    279.0857   -22.6885   0.2      4.0    131.0     0000000000001000000000  
  -67.8945             198.81248999999997    114911.0   0.08     0.035                  89.7    12.3   305.1777   -5.1267    0.0      4.8    91.0      0000000000001000000000  
  -67.8312             1.324455              55.0       0.163    0.037000000000000005   105.9   6.5    309.4971   -48.7047   ""       8.7    14.0      0000000100000000000000  
  -67.82029999999999   130.11902999999998    74541.0    0.22     0.060000000000000005   122.9   7.8    282.5447   -15.5664   0.1      7.9    213.0     0000000001000000000000  
  -67.77059999999999   260.49805499999997    156277.0   0.02     0.035                  107.5   41.2   324.4038   -17.0975   0.1      4.8    50.1      0000000000001000000000  
  -67.71699999999998   217.81826999999998    126862.0   0.04     0.035                  36.1    23.6   312.2021   -6.6602    0.1      5.8    63.1      0000000000001000000000  
  -67.68839999999999   340.20013499999993    214539.0   0.31     0.035                  138.4   3.2    319.7541   -44.9349   0.1      7.2    191.0     0000000000001000000000  
  -67.65199999999999   208.70473499999997    120913.0   1.46     0.035                  80.8    0.7    308.9189   -5.52      0.4      5.7    52.5      0000000000001000000000  
  -67.49109999999999   190.128               ""         1.68     0.1                    82.8    1.7    301.8832   -4.6416    0.3      10.4   5452.0    0000000000000100000000  
  -67.4815             230.16899999999998    135737.0   0.84     0.035                  57.1    1.2    316.5114   -8.6337    0.1      6.3    294.0     0000000000001000000000  
  -67.4463             17.592944999999997    ""         0.0080   0.082                  66.2    79.0   300.1339   -49.5789   ""       11.0   9.0       0000000100000000000000  
  -67.193              189.71818499999998    109867.0   0.802    0.11600000000000002    111.9   4.1    301.7113   -4.3511    0.3      6.3    2017.0    0000000000001100000000  
  -67.08409999999999   227.37466499999996    133683.0   0.74     0.035                  55.1    1.4    315.7969   -7.727     0.2      5.8    2187.8    0000000000001000000000  
  -66.98459999999999   157.53671999999997    91272.0    0.7      0.035                  124.7   1.4    289.7427   -7.8037    0.2      6.2    253.0     0000000000001000000000  
  -66.94879999999999   300.09626999999995    188584.0   0.09     0.035                  58.9    11.0   328.9532   -31.5228   0.0      5.8    109.6     0000000000001000000000  
  -66.91819999999998   349.334415            219509.0   0.047    0.13                   87.3    54.1   316.3716   -47.6799   ""       8.9    30.0      0000000100000000000000  
  -66.90119999999999   87.47314499999999     39844.0    0.03     0.035                  76.6    30.3   276.8042   -30.8016   0.0      5.1    166.0     0000000000001000000000  
  -66.86999999999999   189.70540499999998    ""         2.53     0.1                    113.4   1.1    301.6905   -4.0287    0.4      10.3   4622.0    0000000000000100000000  
  -66.85279999999999   218.96099999999998    ""         2.09     0.1                    66.2    1.4    312.9472   -6.0333    0.4      10.9   2187.8    0000000000000100000000  
  -66.7606             310.48776             196519.0   0.08     0.035                  17.7    12.3   328.3885   -35.5797   0.1      5.1    92.0      0000000000001000000000  
  -66.68539999999999   294.96721499999995    184586.0   0.03     0.035                  6.4     30.3   329.3347   -29.5138   0.0      6.4    105.0     0000000000001000000000  
  -66.59349999999999   222.18566999999996    129954.0   1.06     0.035                  70.3    0.9    314.221    -6.3281    0.2      5.9    340.0     0000000000001000000000  
  -66.53129999999999   234.90299999999996    ""         0.34     0.1                    40.7    8.4    318.5944   -8.9195    1.2      10.3   2754.2    0000000000000100000000  
  -66.51239999999999   208.32557999999997    120680.0   1.83     0.1                    69.7    1.6    309.0509   -4.3784    0.3      7.1    876.0     0000000000000100000000  
  -66.48969999999998   52.71533999999999     22252.0    0.42     0.035                  8.2     2.4    282.2297   -43.6833   0.1      5.8    139.0     0000000000001000000000  
  -66.4892             172.11335999999997    99857.0    0.59     0.1                    101.6   4.8    294.7779   -4.9402    0.3      7.5    2280.5    0000000000000100000000  
